food_liking,disease,beta,g_p,sig,yuanshi,category,postive,negative
Dark chocolate liking,IHD,-0.183129589,Dark chocolate liking_IHDP,0.002528902,dark chocolate,Dessert/Processed products,<0.01,<0.01
Honey liking,IHD,-0.099083128,Honey liking_IHDP,0.131857695,honey,Dessert/Processed products,>0.05,>0.05
Ice cream liking,IHD,0.090115307,Ice cream liking_IHDP,0.540899876,ice cream,Dessert/Processed products,>0.05,>0.05
Jam liking,IHD,0.01686689,Jam liking_IHDP,0.845437655,jam,Dessert/Processed products,>0.05,>0.05
Marzipan liking,IHD,-0.051962465,Marzipan liking_IHDP,0.3146657,marzipan,Dessert/Processed products,>0.05,>0.05
Milky sweets liking,IHD,-0.0041023,Milky sweets liking_IHDP,0.97200815,Milky sweets,Dessert/Processed products,>0.05,>0.05
Total cake/biscuits liking,IHD,-0.00415397,Total cake/biscuits liking_IHDP,0.97200815,Total cake/biscuits,Dessert/Processed products,>0.05,>0.05
Total sweet food liking,IHD,0.09267363,Total sweet food liking_IHDP,0.348818908,sweet foods,Dessert/Processed products,>0.05,>0.05
Biscuits liking,HF,-0.082412235,Biscuits liking_HFP,0.728800988,biscuits,Dessert/Processed products,>0.05,>0.05
Cake icing liking,HF,-0.077755932,Cake icing liking_HFP,0.728800988,cake,Dessert/Processed products,>0.05,>0.05
Cake liking,HF,0.039456306,Cake liking_HFP,0.932761307,cake icing,Dessert/Processed products,>0.05,>0.05
Cheesecake liking,HF,-0.199191709,Cheesecake liking_HFP,0.129252495,cheesecake,Dessert/Processed products,>0.05,>0.05
Cream liking,HF,0.033778984,Cream liking_HFP,0.940771394,cream,Dessert/Processed products,>0.05,>0.05
Dark chocolate liking,HF,-0.452293398,Dark chocolate liking_HFP,6.19E-05,dark chocolate,Dessert/Processed products,<0.0001,<0.0001
Honey liking,HF,-0.115426602,Honey liking_HFP,0.413526905,honey,Dessert/Processed products,>0.05,>0.05
Ice cream liking,HF,0.302132433,Ice cream liking_HFP,0.406647777,ice cream,Dessert/Processed products,>0.05,>0.05
Jam liking,HF,-0.121360031,Jam liking_HFP,0.511111555,jam,Dessert/Processed products,>0.05,>0.05
Marzipan liking,HF,0.009142715,Marzipan liking_HFP,0.971561824,marzipan,Dessert/Processed products,>0.05,>0.05
Milky sweets liking,HF,0.220150009,Milky sweets liking_HFP,0.853074358,Milky sweets,Dessert/Processed products,>0.05,>0.05
Total cake/biscuits liking,HF,-0.146884595,Total cake/biscuits liking_HFP,0.57911665,Total cake/biscuits,Dessert/Processed products,>0.05,>0.05
Total sweet food liking,HF,-0.038307084,Total sweet food liking_HFP,0.815108655,sweet foods,Dessert/Processed products,>0.05,>0.05
Biscuits liking,CVD,0.102046908,Biscuits liking_CVDP,0.588707191,biscuits,Dessert/Processed products,>0.05,>0.05
Cake icing liking,CVD,-0.007289432,Cake icing liking_CVDP,0.953241685,cake,Dessert/Processed products,>0.05,>0.05
Cake liking,CVD,0.042075432,Cake liking_CVDP,0.648221879,cake icing,Dessert/Processed products,>0.05,>0.05
Cheesecake liking,CVD,-0.088337998,Cheesecake liking_CVDP,0.154530148,cheesecake,Dessert/Processed products,>0.05,>0.05
Cream liking,CVD,-0.106346076,Cream liking_CVDP,0.060453069,cream,Dessert/Processed products,>0.05,>0.05
Dark chocolate liking,CVD,-0.179195717,Dark chocolate liking_CVDP,0.001143352,dark chocolate,Dessert/Processed products,<0.01,<0.01
Honey liking,CVD,-0.053022943,Honey liking_CVDP,0.374434716,honey,Dessert/Processed products,>0.05,>0.05
Ice cream liking,CVD,0.070902918,Ice cream liking_CVDP,0.648221879,ice cream,Dessert/Processed products,>0.05,>0.05
Jam liking,CVD,0.005136423,Jam liking_CVDP,0.940304633,jam,Dessert/Processed products,>0.05,>0.05
Marzipan liking,CVD,-0.041927882,Marzipan liking_CVDP,0.346098308,marzipan,Dessert/Processed products,>0.05,>0.05
Milky sweets liking,CVD,-0.013114437,Milky sweets liking_CVDP,0.941140584,Milky sweets,Dessert/Processed products,>0.05,>0.05
Total cake/biscuits liking,CVD,-0.003055864,Total cake/biscuits liking_CVDP,0.985913612,Total cake/biscuits,Dessert/Processed products,>0.05,>0.05
Total sweet food liking,CVD,0.06790407,Total sweet food liking_CVDP,0.600158579,sweet foods,Dessert/Processed products,>0.05,>0.05
Adding salt to food liking,T2D,0.098551686,Adding salt to food liking_T2DP,0.150298972,adding salt to foods,Flavour/Taste preference,>0.05,>0.05
Bitter ale liking,T2D,-0.362345231,Bitter ale liking_T2DP,1.66E-09,bitter/ale,Flavour/Taste preference,<0.0001,<0.0001
Black olive liking,T2D,-0.264765323,Black olive liking_T2DP,2.33E-09,black olives,Flavour/Taste preference,<0.0001,<0.0001
Black pepper liking,T2D,-0.237648141,Black pepper liking_T2DP,0.002320957,black pepper,Flavour/Taste preference,<0.01,<0.01
Capers liking,T2D,-0.360703849,Capers liking_T2DP,5.49E-07,capers,Flavour/Taste preference,<0.0001,<0.0001
Chilli pepper liking,T2D,-0.165121996,Chilli pepper liking_T2DP,0.006903538,chilli pepper,Flavour/Taste preference,<0.01,<0.01
Curry liking,T2D,-0.110811557,Curry liking_T2DP,0.072190932,curry,Flavour/Taste preference,>0.05,>0.05
Extra virgin olive oil liking,T2D,-0.24334133,Extra virgin olive oil liking_T2DP,0.013195412,extra virgin olive oil,Flavour/Taste preference,<0.05,<0.05
Green olives liking,T2D,-0.220418284,Green olives liking_T2DP,5.80E-07,green olives,Flavour/Taste preference,<0.0001,<0.0001
Horseradish liking,T2D,-0.101269896,Horseradish liking_T2DP,0.076875567,horseradish/wasabi,Flavour/Taste preference,>0.05,>0.05
Salad dressing liking,T2D,-0.091156855,Salad dressing liking_T2DP,0.204023841,salad dressing,Flavour/Taste preference,>0.05,>0.05
Spicy food liking,T2D,-0.184584006,Spicy food liking_T2DP,0.002536282,spicy foods,Flavour/Taste preference,<0.01,<0.01
Total bitter food liking,T2D,-0.026090361,Total bitter food liking_T2DP,0.809639971,bitter foods,Flavour/Taste preference,>0.05,>0.05
Total burn/spicy liking,T2D,-0.142835208,Total burn/spicy liking_T2DP,0.033703471,Total burn/spicy,Flavour/Taste preference,<0.05,<0.05
Total cooking flavour liking,T2D,-0.359727796,Total cooking flavour liking_T2DP,0.002014304,Total cooking flavour,Flavour/Taste preference,<0.01,<0.01
Total fatty/salty food liking,T2D,-0.205412867,Total fatty/salty food liking_T2DP,0.08626549,Total fatty/salty food,Flavour/Taste preference,>0.05,>0.05
Total salty food liking,T2D,-0.128784218,Total salty food liking_T2DP,0.381603359,Total salty food,Flavour/Taste preference,>0.05,>0.05
Total savoury food liking,T2D,-0.713795987,Total savoury food liking_T2DP,0.005067841,Total savoury food,Flavour/Taste preference,<0.01,<0.01
Total sharp flavour liking,T2D,-0.322485051,Total sharp flavour liking_T2DP,7.81E-06,Total sharp flavour,Flavour/Taste preference,<0.0001,<0.0001
Total strong flavour liking,T2D,-0.651153569,Total strong flavour liking_T2DP,1.39E-05,Total strong flavour,Flavour/Taste preference,<0.0001,<0.0001
Adding salt to food liking,Stroke,-0.259434123,Adding salt to food liking_StrokeP,0.093207047,adding salt to foods,Flavour/Taste preference,>0.05,>0.05
Bitter ale liking,Stroke,-0.244926201,Bitter ale liking_StrokeP,0.064845053,bitter/ale,Flavour/Taste preference,>0.05,>0.05
Black olive liking,Stroke,-0.184227159,Black olive liking_StrokeP,0.06299216,black olives,Flavour/Taste preference,>0.05,>0.05
Black pepper liking,Stroke,-0.344308802,Black pepper liking_StrokeP,0.036131619,black pepper,Flavour/Taste preference,<0.05,<0.05
Capers liking,Stroke,-0.335833057,Capers liking_StrokeP,0.029414994,capers,Flavour/Taste preference,<0.05,<0.05
Chilli pepper liking,Stroke,-0.367112007,Chilli pepper liking_StrokeP,0.007592922,chilli pepper,Flavour/Taste preference,<0.01,<0.01
Curry liking,Stroke,-0.414108331,Curry liking_StrokeP,0.001219159,curry,Flavour/Taste preference,<0.01,<0.01
Extra virgin olive oil liking,Stroke,-0.408220129,Extra virgin olive oil liking_StrokeP,0.043844613,extra virgin olive oil,Flavour/Taste preference,<0.05,<0.05
Green olives liking,Stroke,-0.22609271,Green olives liking_StrokeP,0.020823169,green olives,Flavour/Taste preference,<0.05,<0.05
Horseradish liking,Stroke,-0.262668127,Horseradish liking_StrokeP,0.034742383,horseradish/wasabi,Flavour/Taste preference,<0.05,<0.05
Salad dressing liking,Stroke,-0.288447032,Salad dressing liking_StrokeP,0.043844613,salad dressing,Flavour/Taste preference,<0.05,<0.05
Spicy food liking,Stroke,-0.326266029,Spicy food liking_StrokeP,0.010574083,spicy foods,Flavour/Taste preference,<0.05,<0.05
Total bitter food liking,Stroke,-0.15787684,Total bitter food liking_StrokeP,0.480903944,bitter foods,Flavour/Taste preference,>0.05,>0.05
Total burn/spicy liking,Stroke,-0.066578591,Total burn/spicy liking_StrokeP,0.655681269,Total burn/spicy,Flavour/Taste preference,>0.05,>0.05
Total cooking flavour liking,Stroke,-0.360667991,Total cooking flavour liking_StrokeP,0.179284462,Total cooking flavour,Flavour/Taste preference,>0.05,>0.05
Total fatty/salty food liking,Stroke,-0.617286776,Total fatty/salty food liking_StrokeP,0.008870053,Total fatty/salty food,Flavour/Taste preference,<0.01,<0.01
Total salty food liking,Stroke,-0.715577485,Total salty food liking_StrokeP,0.020823169,Total salty food,Flavour/Taste preference,<0.05,<0.05
Total savoury food liking,Stroke,0.27266694,Total savoury food liking_StrokeP,0.963241916,Total savoury food,Flavour/Taste preference,>0.05,>0.05
Total sharp flavour liking,Stroke,-0.249620731,Total sharp flavour liking_StrokeP,0.104110429,Total sharp flavour,Flavour/Taste preference,>0.05,>0.05
Total strong flavour liking,Stroke,-0.679941637,Total strong flavour liking_StrokeP,0.038101961,Total strong flavour,Flavour/Taste preference,<0.05,<0.05
Adding salt to food liking,MI,-0.164844338,Adding salt to food liking_MIP,0.115205011,adding salt to foods,Flavour/Taste preference,>0.05,>0.05
Bitter ale liking,MI,-0.410205077,Bitter ale liking_MIP,2.34E-07,bitter/ale,Flavour/Taste preference,<0.0001,<0.0001
Black olive liking,MI,-0.161202871,Black olive liking_MIP,0.014042179,black olives,Flavour/Taste preference,<0.05,<0.05
Black pepper liking,MI,-0.077026479,Black pepper liking_MIP,0.549273134,black pepper,Flavour/Taste preference,>0.05,>0.05
Capers liking,MI,-0.174881735,Capers liking_MIP,0.117918537,capers,Flavour/Taste preference,>0.05,>0.05
Chilli pepper liking,MI,-0.141555855,Chilli pepper liking_MIP,0.133504111,chilli pepper,Flavour/Taste preference,>0.05,>0.05
Curry liking,MI,-0.18400719,Curry liking_MIP,0.037619464,curry,Flavour/Taste preference,<0.05,<0.05
Extra virgin olive oil liking,MI,-0.039510534,Extra virgin olive oil liking_MIP,0.827614957,extra virgin olive oil,Flavour/Taste preference,>0.05,>0.05
Green olives liking,MI,-0.165926402,Green olives liking_MIP,0.010330188,green olives,Flavour/Taste preference,<0.05,<0.05
Horseradish liking,MI,-0.097711651,Horseradish liking_MIP,0.259044053,horseradish/wasabi,Flavour/Taste preference,>0.05,>0.05
Salad dressing liking,MI,-0.098945187,Salad dressing liking_MIP,0.348918286,salad dressing,Flavour/Taste preference,>0.05,>0.05
Spicy food liking,MI,-0.19894049,Spicy food liking_MIP,0.023873301,spicy foods,Flavour/Taste preference,<0.05,<0.05
Total bitter food liking,MI,-0.161266382,Total bitter food liking_MIP,0.317171875,bitter foods,Flavour/Taste preference,>0.05,>0.05
Total burn/spicy liking,MI,0.006881514,Total burn/spicy liking_MIP,0.930580329,Total burn/spicy,Flavour/Taste preference,>0.05,>0.05
Total cooking flavour liking,MI,-0.388595609,Total cooking flavour liking_MIP,0.01700341,Total cooking flavour,Flavour/Taste preference,<0.05,<0.05
Total fatty/salty food liking,MI,-0.504693381,Total fatty/salty food liking_MIP,0.001460672,Total fatty/salty food,Flavour/Taste preference,<0.01,<0.01
Total salty food liking,MI,-0.112536987,Total salty food liking_MIP,0.625841768,Total salty food,Flavour/Taste preference,>0.05,>0.05
Total savoury food liking,MI,-0.077598932,Total savoury food liking_MIP,0.881884677,Total savoury food,Flavour/Taste preference,>0.05,>0.05
Total sharp flavour liking,MI,-0.224021877,Total sharp flavour liking_MIP,0.033486192,Total sharp flavour,Flavour/Taste preference,<0.05,<0.05
Total strong flavour liking,MI,-0.353711942,Total strong flavour liking_MIP,0.140490108,Total strong flavour,Flavour/Taste preference,>0.05,>0.05
Adding salt to food liking,IHD,-0.120504321,Adding salt to food liking_IHDP,0.066407254,adding salt to foods,Flavour/Taste preference,>0.05,>0.05
Bitter ale liking,IHD,-0.295939323,Bitter ale liking_IHDP,1.20E-08,bitter/ale,Flavour/Taste preference,<0.0001,<0.0001
Black olive liking,IHD,-0.169176086,Black olive liking_IHDP,1.94E-05,black olives,Flavour/Taste preference,<0.0001,<0.0001
Black pepper liking,IHD,-0.058177171,Black pepper liking_IHDP,0.48570603,black pepper,Flavour/Taste preference,>0.05,>0.05
Capers liking,IHD,-0.153204891,Capers liking_IHDP,0.01666786,capers,Flavour/Taste preference,<0.05,<0.05
Chilli pepper liking,IHD,-0.175378653,Chilli pepper liking_IHDP,0.002205814,chilli pepper,Flavour/Taste preference,<0.01,<0.01
Curry liking,IHD,-0.199498816,Curry liking_IHDP,0.00014226,curry,Flavour/Taste preference,<0.001,<0.001
Extra virgin olive oil liking,IHD,-0.068223321,Extra virgin olive oil liking_IHDP,0.529844323,extra virgin olive oil,Flavour/Taste preference,>0.05,>0.05
Green olives liking,IHD,-0.173655023,Green olives liking_IHDP,8.87E-06,green olives,Flavour/Taste preference,<0.0001,<0.0001
Horseradish liking,IHD,-0.129175489,Horseradish liking_IHDP,0.012073906,horseradish/wasabi,Flavour/Taste preference,<0.05,<0.05
Salad dressing liking,IHD,-0.041745371,Salad dressing liking_IHDP,0.540006788,salad dressing,Flavour/Taste preference,>0.05,>0.05
Spicy food liking,IHD,-0.202390156,Spicy food liking_IHDP,0.000153661,spicy foods,Flavour/Taste preference,<0.001,<0.001
Total bitter food liking,IHD,-0.268638236,Total bitter food liking_IHDP,0.006384619,bitter foods,Flavour/Taste preference,<0.01,<0.01
Total burn/spicy liking,IHD,-0.04604026,Total burn/spicy liking_IHDP,0.48570603,Total burn/spicy,Flavour/Taste preference,>0.05,>0.05
Total cooking flavour liking,IHD,-0.200074783,Total cooking flavour liking_IHDP,0.085959699,Total cooking flavour,Flavour/Taste preference,>0.05,>0.05
Total fatty/salty food liking,IHD,-0.21117936,Total fatty/salty food liking_IHDP,0.049955662,Total fatty/salty food,Flavour/Taste preference,<0.05,<0.05
Total salty food liking,IHD,0.028569024,Total salty food liking_IHDP,0.845437655,Total salty food,Flavour/Taste preference,>0.05,>0.05
Total savoury food liking,IHD,-0.096043113,Total savoury food liking_IHDP,0.771315739,Total savoury food,Flavour/Taste preference,>0.05,>0.05
Total sharp flavour liking,IHD,-0.137000348,Total sharp flavour liking_IHDP,0.041081532,Total sharp flavour,Flavour/Taste preference,<0.05,<0.05
Total strong flavour liking,IHD,-0.249143926,Total strong flavour liking_IHDP,0.144715476,Total strong flavour,Flavour/Taste preference,>0.05,>0.05
Adding salt to food liking,HF,-0.057660548,Adding salt to food liking_HFP,0.69007377,adding salt to foods,Flavour/Taste preference,>0.05,>0.05
Bitter ale liking,HF,-0.232563554,Bitter ale liking_HFP,0.040909693,bitter/ale,Flavour/Taste preference,<0.05,<0.05
Black olive liking,HF,-0.184813505,Black olive liking_HFP,0.035937895,black olives,Flavour/Taste preference,<0.05,<0.05
Black pepper liking,HF,-0.263988829,Black pepper liking_HFP,0.057413795,black pepper,Flavour/Taste preference,>0.05,>0.05
Capers liking,HF,-0.013923128,Capers liking_HFP,0.91795128,capers,Flavour/Taste preference,>0.05,>0.05
Chilli pepper liking,HF,-0.031518606,Chilli pepper liking_HFP,0.812026581,chilli pepper,Flavour/Taste preference,>0.05,>0.05
Curry liking,HF,-0.171539846,Curry liking_HFP,0.106475156,curry,Flavour/Taste preference,>0.05,>0.05
Extra virgin olive oil liking,HF,-0.273492655,Extra virgin olive oil liking_HFP,0.112280943,extra virgin olive oil,Flavour/Taste preference,>0.05,>0.05
Green olives liking,HF,-0.220786716,Green olives liking_HFP,0.009753896,green olives,Flavour/Taste preference,<0.01,<0.01
Horseradish liking,HF,-0.061013471,Horseradish liking_HFP,0.586915727,horseradish/wasabi,Flavour/Taste preference,>0.05,>0.05
Salad dressing liking,HF,-0.355727948,Salad dressing liking_HFP,0.00268722,salad dressing,Flavour/Taste preference,<0.01,<0.01
Spicy food liking,HF,-0.08058582,Spicy food liking_HFP,0.495716928,spicy foods,Flavour/Taste preference,>0.05,>0.05
Total bitter food liking,HF,0.117910899,Total bitter food liking_HFP,0.884127557,bitter foods,Flavour/Taste preference,>0.05,>0.05
Total burn/spicy liking,HF,0.052100825,Total burn/spicy liking_HFP,0.932761307,Total burn/spicy,Flavour/Taste preference,>0.05,>0.05
Total cooking flavour liking,HF,-0.55957331,Total cooking flavour liking_HFP,0.002430647,Total cooking flavour,Flavour/Taste preference,<0.01,<0.01
Total fatty/salty food liking,HF,-0.157754781,Total fatty/salty food liking_HFP,0.490875791,Total fatty/salty food,Flavour/Taste preference,>0.05,>0.05
Total salty food liking,HF,0.019231489,Total salty food liking_HFP,0.971561824,Total salty food,Flavour/Taste preference,>0.05,>0.05
Total savoury food liking,HF,-0.479014525,Total savoury food liking_HFP,0.375062416,Total savoury food,Flavour/Taste preference,>0.05,>0.05
Total sharp flavour liking,HF,-0.031292665,Total sharp flavour liking_HFP,0.825110579,Total sharp flavour,Flavour/Taste preference,>0.05,>0.05
Total strong flavour liking,HF,-0.40555777,Total strong flavour liking_HFP,0.124801637,Total strong flavour,Flavour/Taste preference,>0.05,>0.05
Adding salt to food liking,CVD,-0.150321651,Adding salt to food liking_CVDP,0.009885197,adding salt to foods,Flavour/Taste preference,<0.01,<0.01
Bitter ale liking,CVD,-0.294308773,Bitter ale liking_CVDP,7.18E-10,bitter/ale,Flavour/Taste preference,<0.0001,<0.0001
Black olive liking,CVD,-0.18258343,Black olive liking_CVDP,4.21E-07,black olives,Flavour/Taste preference,<0.0001,<0.0001
Black pepper liking,CVD,-0.135523158,Black pepper liking_CVDP,0.048341546,black pepper,Flavour/Taste preference,<0.05,<0.05
Capers liking,CVD,-0.203660936,Capers liking_CVDP,0.000348764,capers,Flavour/Taste preference,<0.001,<0.001
Chilli pepper liking,CVD,-0.194470602,Chilli pepper liking_CVDP,0.000141076,chilli pepper,Flavour/Taste preference,<0.001,<0.001
Curry liking,CVD,-0.238732452,Curry liking_CVDP,4.52E-07,curry,Flavour/Taste preference,<0.0001,<0.0001
Extra virgin olive oil liking,CVD,-0.110617315,Extra virgin olive oil liking_CVDP,0.229059358,extra virgin olive oil,Flavour/Taste preference,>0.05,>0.05
Green olives liking,CVD,-0.17921595,Green olives liking_CVDP,4.52E-07,green olives,Flavour/Taste preference,<0.0001,<0.0001
Horseradish liking,CVD,-0.130291161,Horseradish liking_CVDP,0.005371399,horseradish/wasabi,Flavour/Taste preference,<0.01,<0.01
Salad dressing liking,CVD,-0.080299352,Salad dressing liking_CVDP,0.178028379,salad dressing,Flavour/Taste preference,>0.05,>0.05
Spicy food liking,CVD,-0.225266648,Spicy food liking_CVDP,2.89E-06,spicy foods,Flavour/Taste preference,<0.0001,<0.0001
Total bitter food liking,CVD,-0.228027591,Total bitter food liking_CVDP,0.011080086,bitter foods,Flavour/Taste preference,<0.05,<0.05
Total burn/spicy liking,CVD,-0.047595241,Total burn/spicy liking_CVDP,0.407034952,Total burn/spicy,Flavour/Taste preference,>0.05,>0.05
Total cooking flavour liking,CVD,-0.247299066,Total cooking flavour liking_CVDP,0.013604382,Total cooking flavour,Flavour/Taste preference,<0.05,<0.05
Total fatty/salty food liking,CVD,-0.2761169,Total fatty/salty food liking_CVDP,0.003222976,Total fatty/salty food,Flavour/Taste preference,<0.01,<0.01
Total salty food liking,CVD,-0.088200406,Total salty food liking_CVDP,0.48359937,Total salty food,Flavour/Taste preference,>0.05,>0.05
Total savoury food liking,CVD,-0.045280078,Total savoury food liking_CVDP,0.896891622,Total savoury food,Flavour/Taste preference,>0.05,>0.05
Total sharp flavour liking,CVD,-0.162147697,Total sharp flavour liking_CVDP,0.005971653,Total sharp flavour,Flavour/Taste preference,<0.01,<0.01
Total strong flavour liking,CVD,-0.360143031,Total strong flavour liking_CVDP,0.011314086,Total strong flavour,Flavour/Taste preference,<0.05,<0.05
