food_liking,disease,beta,g_p,sig,yuanshi,category,postive,negative
Gherkins liking,HF,-0.064719275,Gherkins liking_HFP,0.57911665,gherkins,Processed products,>0.05,>0.05
Ham liking,HF,0.252408713,Ham liking_HFP,0.197814331,ham,Processed products,>0.05,>0.05
Pizza liking,HF,-0.151227495,Pizza liking_HFP,0.320914507,pizza,Processed products,>0.05,>0.05
Sausages liking,HF,0.177288376,Sausages liking_HFP,0.406647777,sausages (meat),Processed products,>0.05,>0.05
Savoury biscuit liking,HF,-0.121848792,Savoury biscuit liking_HFP,0.57911665,savoury biscuits,Processed products,>0.05,>0.05
Smoked fish liking,HF,-0.191179138,Smoked fish liking_HFP,0.078658348,smoked fish,Processed products,>0.05,>0.05
Tinned tuna liking,HF,-0.201511077,Tinned tuna liking_HFP,0.060047327,tinned tuna,Processed products,>0.05,>0.05
Bacon liking,CVD,0.004898006,Bacon liking_CVDP,0.940304633,bacon,Processed products,>0.05,>0.05
BBQ/grilled meat liking,CVD,0.037987146,BBQ/grilled meat liking_CVDP,0.648221879,barbequed or grilled meat,Processed products,>0.05,>0.05
Burger liking,CVD,-0.005024824,Burger liking_CVDP,0.953241685,burgers (meat),Processed products,>0.05,>0.05
Chips liking,CVD,-0.20987596,Chips liking_CVDP,0.033906636,chips/french fries,Processed products,<0.05,<0.05
Corn flake liking,CVD,0.15794341,Corn flake liking_CVDP,0.020750337,corn flakes,Processed products,<0.05,<0.05
Gherkins liking,CVD,-0.057003631,Gherkins liking_CVDP,0.239300551,gherkins,Processed products,>0.05,>0.05
Ham liking,CVD,0.032047143,Ham liking_CVDP,0.784805175,ham,Processed products,>0.05,>0.05
Pizza liking,CVD,-0.14634759,Pizza liking_CVDP,0.026563624,pizza,Processed products,<0.05,<0.05
Sausages liking,CVD,-0.000656864,Sausages liking_CVDP,0.989689977,sausages (meat),Processed products,>0.05,>0.05
Savoury biscuit liking,CVD,-0.100383132,Savoury biscuit liking_CVDP,0.299273365,savoury biscuits,Processed products,>0.05,>0.05
Smoked fish liking,CVD,-0.086129443,Smoked fish liking_CVDP,0.085754468,smoked fish,Processed products,>0.05,>0.05
Tinned tuna liking,CVD,-0.064840002,Tinned tuna liking_CVDP,0.205086158,tinned tuna,Processed products,>0.05,>0.05
Baked/steamed fish liking,T2D,-0.186687903,Baked/steamed fish liking_T2DP,0.004906145,baked/steamed fish,Total Animal Products,<0.01,<0.01
Beef/steak liking,T2D,0.243180547,Beef/steak liking_T2DP,0.000757083,beef steak,Total Animal Products,<0.001,<0.001
Fried chicken liking,T2D,0.306954549,Fried chicken liking_T2DP,1.24E-05,fried chicken,Total Animal Products,<0.0001,<0.0001
Herring liking,T2D,-0.230763191,Herring liking_T2DP,3.69E-05,herring,Total Animal Products,<0.0001,<0.0001
Mackerel liking,T2D,-0.318262101,Mackerel liking_T2DP,5.78E-10,mackerel,Total Animal Products,<0.0001,<0.0001
Pork chop liking,T2D,0.226127477,Pork chop liking_T2DP,0.000858989,pork chop,Total Animal Products,<0.001,<0.001
Prawns liking,T2D,-0.083987533,Prawns liking_T2DP,0.088172512,prawns,Total Animal Products,>0.05,>0.05
Red meat liking,T2D,0.260528501,Red meat liking_T2DP,0.000770453,red meat,Total Animal Products,<0.001,<0.001
Salmon liking,T2D,-0.200315954,Salmon liking_T2DP,0.001899543,salmon,Total Animal Products,<0.01,<0.01
Sardines liking,T2D,-0.229654749,Sardines liking_T2DP,1.39E-05,sardines,Total Animal Products,<0.0001,<0.0001
Shellfish liking,T2D,-0.107779848,Shellfish liking_T2DP,0.020585624,shellfish (other than prawns),Total Animal Products,<0.05,<0.05
Total fish liking,T2D,-0.295358805,Total fish liking_T2DP,0.001763755,Total fish,Total Animal Products,<0.01,<0.01
Total meat liking,T2D,0.299358101,Total meat liking_T2DP,0.004475912,Total meat,Total Animal Products,<0.01,<0.01
Total seafood liking,T2D,-0.130751493,Total seafood liking_T2DP,0.012845644,Total seafood,Total Animal Products,<0.05,<0.05
Total small fish liking,T2D,-0.215492313,Total small fish liking_T2DP,0.003706678,Total small fish,Total Animal Products,<0.01,<0.01
Baked/steamed fish liking,Stroke,-0.116460219,Baked/steamed fish liking_StrokeP,0.461776773,baked/steamed fish,Total Animal Products,>0.05,>0.05
Beef/steak liking,Stroke,0.041008914,Beef/steak liking_StrokeP,0.963241916,beef steak,Total Animal Products,>0.05,>0.05
Fried chicken liking,Stroke,0.159593959,Fried chicken liking_StrokeP,0.735433153,fried chicken,Total Animal Products,>0.05,>0.05
Herring liking,Stroke,-0.131445843,Herring liking_StrokeP,0.292499879,herring,Total Animal Products,>0.05,>0.05
Mackerel liking,Stroke,-0.088433149,Mackerel liking_StrokeP,0.464351554,mackerel,Total Animal Products,>0.05,>0.05
Pork chop liking,Stroke,0.038603348,Pork chop liking_StrokeP,0.963241916,pork chop,Total Animal Products,>0.05,>0.05
Prawns liking,Stroke,0.019084035,Prawns liking_StrokeP,0.963241916,prawns,Total Animal Products,>0.05,>0.05
Red meat liking,Stroke,0.032725239,Red meat liking_StrokeP,0.963241916,red meat,Total Animal Products,>0.05,>0.05
Salmon liking,Stroke,-0.152247572,Salmon liking_StrokeP,0.291569404,salmon,Total Animal Products,>0.05,>0.05
Sardines liking,Stroke,-0.092566766,Sardines liking_StrokeP,0.446326586,sardines,Total Animal Products,>0.05,>0.05
Shellfish liking,Stroke,-0.097157699,Shellfish liking_StrokeP,0.333130304,shellfish (other than prawns),Total Animal Products,>0.05,>0.05
Total fish liking,Stroke,-0.069992185,Total fish liking_StrokeP,0.747368859,Total fish,Total Animal Products,>0.05,>0.05
Total meat liking,Stroke,0.070180761,Total meat liking_StrokeP,0.963241916,Total meat,Total Animal Products,>0.05,>0.05
Total seafood liking,Stroke,0.023102144,Total seafood liking_StrokeP,0.963241916,Total seafood,Total Animal Products,>0.05,>0.05
Total small fish liking,Stroke,-0.217894876,Total small fish liking_StrokeP,0.194798394,Total small fish,Total Animal Products,>0.05,>0.05
